"Scope","CPUTIME (usec).[0,0] (I)","CPUTIME (usec).[0,0] (E)"
"Experiment Aggregate Metrics",1.07e+06 100 %,1.07e+06 100 %
"<program root>",1.07e+06 100 %,
"main",1.07e+06 100 %,1.01e+06 94.5%
"loop at : 308",8.31e+05 77.4%,
"loop at : 345",2.37e+05 22.1%,2.37e+05 22.1%
": 346",1.94e+05 18.1%,1.94e+05 18.1%
": 345",4.33e+04  4.0%,4.33e+04  4.0%
"loop at : 335",2.23e+05 20.8%,2.23e+05 20.8%
": 336",1.54e+05 14.3%,1.54e+05 14.3%
": 335",6.99e+04  6.5%,6.99e+04  6.5%
"loop at : 325",1.94e+05 18.1%,1.94e+05 18.1%
": 326",1.53e+05 14.2%,1.53e+05 14.2%
": 325",4.16e+04  3.9%,4.16e+04  3.9%
"loop at : 315",1.77e+05 16.4%,1.77e+05 16.4%
": 316",9.65e+04  9.0%,9.65e+04  9.0%
": 315",8.01e+04  7.5%,8.01e+04  7.5%
"loop at : 269",1.56e+05 14.5%,1.56e+05 14.5%
": 271",8.80e+04  8.2%,8.80e+04  8.2%
": 272",3.68e+04  3.4%,3.68e+04  3.4%
": 270",3.12e+04  2.9%,3.12e+04  2.9%
"checkSTREAMresults",5.92e+04  5.5%,5.92e+04  5.5%
"loop at : 463",5.92e+04  5.5%,5.92e+04  5.5%
": 466",3.72e+04  3.5%,3.72e+04  3.5%
": 464",2.20e+04  2.1%,2.20e+04  2.1%
"loop at : 288",2.69e+04  2.5%,2.69e+04  2.5%
": 289",2.69e+04  2.5%,2.69e+04  2.5%
